Genus_Taxonomy,gcf_count_unique,gcf_index,gcf_count
Mycobacterium,862,"Index([42326, 43972, 64462, 58399, 61011, 61440, 56021, 55899,  6709, 39830,
       ...
        4008, 24781, 42707, 25690, 30590, 45197, 58973, 65874, 28133, 67207],
      dtype='int64', name='gcf_id', length=862)","[6586 6578 6498 6489 6482 6328 6266 5987 5911 5749 5510 5469 3565 3116
 2994 1270 1171 1118  975  881  821  638  557  518  473  455  380  373
  358  310  278  277  275  273  236  235  233  226  225  219  216  201
  191  184  172  165  155  150  150  147  146  137  133  124  117  114
  114  112  107   97   92   84   84   80   78   74   72   70   69   66
   66   62   60   59   58   53   49   49   48   48   47   46   46   46
   45   45   45   43   41   41   39   38   38   38   37   37   36   36
   35   35   34   34   34   34   33   33   32   31   30   30   29   29
   29   29   28   28   28   27   27   27   27   27   26   26   25   25
   25   25   24   24   24   24   24   23   23   23   22   21   21   21
   21   21   21   20   20   20   20   19   19   19   19   19   18   18
   18   18   18   18   17   17   17   17   17   17   17   17   16   16
   16   16   16   15   15   15   15   14   14   14   14   14   14   14
   14   13   13   13   13   13   13   13   12   12   12   12   12   12
   12   12   12   12   12   11   11   11   11   11   11   11   11   11
   10   10   10   10   10   10   10   10   10   10   10   10   10   10
    9    9    9    9    9    9    9    9    9    8    8    8    8    8
    8    8    8    8    8    8    8    8    8    8    8    8    8    8
    7    7    7    7    7    7    7    7    7    7    7    7    7    7
    6    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    5    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1]"
Pseudomonas,219,"Index([25095, 19884,  7661, 41202, 11193, 48799, 47181,  6633, 28554, 35479,
       ...
       19098,  9458, 23082,  8548,  7514,  1420,  9589, 35135, 39184, 70846],
      dtype='int64', name='gcf_id', length=219)","[4793 4774 4744 4577 4530 4335 4329 4174 3643 3622 3104 3070 2610 2255
 2173 1460 1449 1294 1230 1159 1090 1050  829  647  567  510  468  463
  405  372  369  357  289  284  272  261  200  200  197  170  168  158
  145  124  114   96   81   71   65   63   62   61   57   54   54   51
   49   48   47   46   46   44   43   42   41   38   37   32   32   31
   25   23   23   23   21   20   19   19   19   19   19   18   18   17
   16   14   14   13   11   11   11   10   10   10   10    9    9    9
    8    8    8    8    8    8    7    7    7    7    7    7    7    6
    6    5    5    5    5    4    4    4    4    4    4    4    4    4
    4    4    4    3    3    3    3    3    3    3    3    3    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1]"
Staphylococcus,295,"Index([11512,   829, 44028, 51295,  6352,   725, 12471, 35941,   142, 33921,
       ...
        5508, 19502,     1,  5817,  1318, 27443,  1414, 30029, 49431,  1729],
      dtype='int64', name='gcf_id', length=295)","[11717 10774 10503  9743  9293  3479  2528  1659  1271  1139   911   867
   860   854   785   545   393   341   316   307   284   266   263   231
   227   175   174   170   148   147   133   123   108   100   100    98
    98    92    91    87    87    72    69    68    66    66    65    63
    61    60    59    58    58    54    49    46    43    42    42    42
    38    35    35    34    34    33    32    32    28    28    27    27
    27    25    24    24    24    23    23    23    23    22    22    21
    20    19    17    17    17    17    17    17    16    16    16    16
    15    14    14    13    13    13    13    12    11    11    10    10
    10    10    10     9     9     9     9     9     8     8     8     8
     8     8     7     7     7     7     7     7     7     6     6     6
     6     6     6     6     6     5     5     5     5     5     5     5
     5     4     4     4     4     4     4     4     4     4     4     4
     4     4     4     4     4     4     3     3     3     3     3     3
     3     3     3     3     3     3     3     3     3     3     3     3
     3     2     2     2     2     2     2     2     2     2     2     2
     2     2     2     2     2     2     2     2     2     2     2     2
     2     2     2     2     2     2     2     2     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1]"
Streptococcus,782,"Index([   37,  4762,  6957,  1986, 14723, 33901,   783,  4905, 22538,  7689,
       ...
        2066, 12311, 12310,  6769, 24447, 22350, 17328, 36244, 49212, 75033],
      dtype='int64', name='gcf_id', length=782)","[6284 4914 4582 3994 3817 3079 3031 2069 2027 1821 1776 1559 1387 1360
 1332 1330 1317 1308 1250 1017  954  865  844  812  754  664  649  610
  594  584  575  541  509  494  450  443  394  390  351  333  326  318
  306  305  284  278  276  253  251  231  206  203  196  193  189  170
  145  141  137  137  133  132  128  123  122  114  111  108  106  105
  101   98   98   97   97   94   92   90   89   84   79   77   76   75
   73   71   69   69   66   63   62   60   60   59   58   58   57   56
   56   55   55   54   53   51   49   49   49   48   48   47   47   47
   46   45   44   43   42   41   40   39   39   38   38   38   38   37
   36   36   36   36   36   35   34   34   32   32   30   29   29   29
   28   28   27   27   27   26   26   26   26   25   25   25   24   24
   24   24   24   24   24   23   23   23   23   23   23   22   22   22
   21   21   21   21   21   21   21   21   21   20   20   20   19   19
   19   19   19   19   19   18   18   18   17   17   17   17   17   17
   17   17   16   16   16   16   16   16   15   15   15   14   14   14
   14   14   14   14   14   14   14   14   14   13   12   12   12   12
   12   12   12   12   12   12   12   12   12   12   12   11   11   11
   11   11   11   11   11   11   10   10   10   10   10   10   10    9
    9    9    9    9    9    9    9    9    9    9    9    9    9    9
    9    8    8    8    8    8    8    8    8    8    8    8    8    8
    8    8    8    8    8    8    8    7    7    7    7    7    7    7
    7    7    7    7    7    7    7    7    7    7    7    7    7    7
    7    6    6    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1]"
Escherichia,171,"Index([20486, 45054,  2237, 54627, 43638, 56332, 14259, 38997,  4629,    40,
       ...
         539, 15386, 22709, 48690, 45099,  1609, 48909, 46551,  1410,    57],
      dtype='int64', name='gcf_id', length=171)","[15608 11544  6084  5672  4172  3814  2862  1960  1897  1583  1371  1336
  1256  1212  1208   883   799   592   529   444   399   235   231   229
   187   186   174   163   134   106   100    93    90    77    66    64
    54    50    50    49    49    41    40    38    35    31    30    29
    27    27    25    24    22    22    21    19    19    19    18    17
    16    16    14    14    14    14    13    12    12    12    11    11
     9     9     9     9     9     8     8     8     7     7     7     6
     6     6     5     5     5     4     4     4     4     4     4     4
     3     3     3     3     3     3     3     3     2     2     2     2
     2     2     2     2     2     2     2     2     2     2     2     2
     2     2     2     2     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1]"
Burkholderia,717,"Index([ 6524,  6324, 60356, 16123,  7891,  7935, 33221, 12077, 35725, 59048,
       ...
        7886, 35380, 55217, 53532, 28197, 37405,  9331, 33650, 19021, 66723],
      dtype='int64', name='gcf_id', length=717)","[3027 2374 1733 1732 1708 1701 1670 1666 1654 1652 1645 1630 1592 1568
 1565 1561 1542 1433 1340 1318 1251 1243 1223 1074 1072 1048  884  820
  778  662  630  606  601  566  545  526  477  421  405  397  395  391
  390  386  365  351  349  326  286  275  266  244  237  233  231  231
  226  217  206  185  185  184  182  178  178  177  167  166  164  159
  153  151  147  144  142  141  137  135  134  122  121  120  119  116
  115  114  113  110  110  107  104  104  101   99   98   95   93   90
   86   84   84   84   82   81   80   75   75   75   73   70   68   68
   67   66   65   63   60   60   58   54   54   54   52   51   51   51
   49   48   45   44   44   43   43   42   42   41   41   40   39   39
   38   38   38   37   37   37   36   36   35   35   34   34   34   34
   33   32   32   32   30   30   30   29   29   29   28   28   28   27
   26   26   26   26   26   26   25   24   24   24   24   23   23   23
   23   23   22   22   22   22   22   22   21   21   21   21   20   20
   19   19   19   19   19   18   18   18   18   18   18   17   17   17
   16   16   16   16   16   16   15   15   15   15   15   15   14   14
   13   13   13   13   13   13   12   12   12   12   12   12   12   11
   11   11   11   11   11   10   10   10   10   10   10   10   10   10
   10    9    9    9    9    9    9    9    9    9    9    9    9    9
    9    8    8    8    8    8    8    8    8    8    8    8    8    8
    8    8    8    7    7    7    7    7    7    7    7    7    7    7
    7    7    7    6    6    6    6    6    6    6    6    6    6    6
    6    6    6    6    6    6    6    6    6    5    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1]"
Streptomyces,8703,"Index([57228, 49265, 45969, 42802,   883,  9257,  5194,  2947, 17269, 13856,
       ...
        6640, 34345, 43800, 52094, 12040, 17026, 41507, 51716, 10137,  4696],
      dtype='int64', name='gcf_id', length=8703)",[1061  766  682 ...    1    1    1]
Pseudomonas_E,1517,"Index([25095, 22671, 37850, 58987,  9257, 27871, 59744,  1934, 54391, 11518,
       ...
       13720, 51850, 36845, 38641, 30204, 19526, 48799, 51256, 35092, 67659],
      dtype='int64', name='gcf_id', length=1517)",[4282 2073 2048 ...    1    1    1]
Acinetobacter,323,"Index([43938, 43804, 49998, 10143, 58798, 36430, 64947, 55921, 54397, 53986,
       ...
       10205, 49928, 40835, 43615, 17067, 53311, 55745, 46589, 50268, 74365],
      dtype='int64', name='gcf_id', length=323)","[4470 4300 3961 3891 3054 2043 1793 1297  907  865  816  687  684  600
  440  401  387  363  329  311  310  303  288  253  240  235  235  233
  191  152  150  147  147  126  120  119  117  116  105  103   88   85
   83   78   75   74   72   72   68   63   59   58   56   54   49   49
   47   47   42   42   40   40   38   38   36   35   33   30   27   25
   25   24   23   22   22   22   21   21   20   19   19   19   18   18
   18   17   16   15   14   13   12   12   12   12   12   12   11   11
   11   11   11   10    9    9    9    9    9    9    9    8    8    7
    7    7    7    7    7    6    6    6    6    6    6    6    6    6
    6    6    5    5    5    5    5    5    5    5    5    5    5    5
    5    5    4    4    4    4    4    4    4    4    4    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1]"
Klebsiella,133,"Index([ 2267, 39490, 20486, 56004, 14259,    48,  5527,  2237, 45111, 65277,
       ...
       55030, 32172, 19553, 54852, 12301, 54627, 28203, 56332, 56477, 44100],
      dtype='int64', name='gcf_id', length=133)","[8792 8225 5880 3647 2911 1696  807  719  469  416  226  217  194  147
  100   89   84   78   77   53   37   35   26   26   25   25   24   19
   18   16   14   14   13   12   12    8    8    8    8    7    7    7
    6    6    6    6    5    5    5    4    4    4    4    4    3    3
    3    3    3    3    3    3    3    3    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1]"
