Genus_Taxonomy,gcf_count_unique,gcf_index,gcf_count
Mycobacterium,321,"Index([ 9710, 15483,  3703, 15823, 16930, 19179,  2710, 14620,  6182,  1228,
       ...
        6599, 10557, 20722,  4248,  3038, 13436, 17216, 10716, 10866, 19274],
      dtype='int64', name='gcf_id', length=321)","[33421  9216  7354  6586  6577  6297  5894  5660  5596  3575  3056  1469
  1270  1024   649   425   369   320   292   285   281   257   242   224
   211   195   172   167   139   136   124   123   112   104    95    84
    81    77    74    67    66    61    59    58    54    51    49    49
    46    46    45    43    43    42    39    37    36    34    33    32
    31    31    29    27    26    25    25    24    24    24    23    23
    22    21    21    20    19    18    18    18    17    17    17    16
    16    16    16    15    15    15    15    14    14    13    13    12
    12    12    12    12    12    11    11    11    11    11    10    10
    10    10     9     9     9     9     9     9     9     9     9     8
     8     8     8     7     7     7     7     7     7     7     7     7
     7     6     6     6     6     6     6     6     6     6     6     6
     5     5     5     5     5     5     5     4     4     4     4     4
     4     4     4     4     4     4     4     4     4     4     3     3
     3     3     3     3     3     3     3     3     3     3     3     3
     3     3     3     3     3     3     3     2     2     2     2     2
     2     2     2     2     2     2     2     2     2     2     2     2
     2     2     2     2     2     2     2     2     2     2     2     2
     2     2     2     2     2     2     2     2     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1]"
Pseudomonas,128,"Index([ 1128,  5326, 10597,  1643,  2037,  1025, 11500, 11991, 10389,  6580,
       ...
       19153,  1229, 13073, 21570, 18892,  1591, 15953, 18536, 21333,  4207],
      dtype='int64', name='gcf_id', length=128)","[8366 4780 4780 4743 4734 4597 4504 4419 4336 4284 4163 3376 3361 3344
 1615 1580 1349 1217 1209  454  432  372  284  271  241  230  218  218
  202  180   94   78   65   56   55   49   39   39   27   25   25   21
   20   19   19   18   18   17   17   17   14   14   13   12   12   11
   11   11    9    8    8    8    8    8    8    8    7    7    7    6
    5    5    4    4    4    4    4    3    3    2    2    2    2    2
    2    2    2    2    2    2    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1]"
Staphylococcus,152,"Index([ 1309,    21,  9221, 16648,  1079,     7,   889, 11733,   420,  2948,
       ...
        1662,  8270,  1395,  2807, 11588,  1836,  1954,  3562,    45,  9710],
      dtype='int64', name='gcf_id', length=152)","[11752 11187 10612 10500  9260  3824  3305  3156  2450  1052   857   836
   770   442   333   257   227   186   152   152   144   139   133   125
   115   108   100    98    97    88    85    70    69    65    64    58
    52    40    37    33    32    31    30    28    27    24    24    24
    24    24    24    24    23    20    20    19    19    19    18    17
    17    16    16    15    11    11    10     9     9     9     8     8
     8     8     8     7     7     7     6     6     5     5     5     5
     4     4     4     4     4     4     4     4     3     3     3     3
     3     3     3     3     3     2     2     2     2     2     2     2
     2     2     2     2     2     2     2     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1]"
Streptococcus,258,"Index([    6,    34,    52,  1119, 13168,  3341,  3866,    17,   376,  1374,
       ...
       19306,   392,  3253,   193,    83, 11108, 13007,    51,  4216,  7957],
      dtype='int64', name='gcf_id', length=258)","[16375  8229  6521  4907  4357  3830  3465  2777  2457  1699  1328  1326
  1246  1197  1059   987   956   867   786   724   488   475   414   382
   333   322   297   278   242   234   224   218   201   197   171   170
   170   165   159   143   128   125   123   116   109   106    89    88
    85    80    79    71    70    68    59    58    57    52    51    50
    47    41    41    41    40    39    38    35    34    32    31    30
    27    27    25    25    24    24    23    23    23    22    21    21
    20    19    18    18    17    17    16    16    15    15    14    14
    13    13    12    12    12    11    11    11    11    10     9     9
     9     9     9     9     9     9     8     8     8     8     8     7
     7     7     7     7     6     6     6     6     6     6     6     5
     5     5     5     5     5     5     5     4     4     4     4     4
     4     4     4     4     4     4     4     3     3     3     3     3
     3     3     3     3     3     3     3     3     3     3     2     2
     2     2     2     2     2     2     2     2     2     2     2     2
     2     2     2     2     2     2     2     2     2     2     2     2
     2     2     2     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1]"
Escherichia,81,"Index([ 1706, 11919,   710, 21306, 21034,     8, 20200, 21249,  1513,     9,
       21878,  3703,   104,    10,  3589,  2084,   393,  6312,   169, 21332,
        1128,  3356,  1942, 15194, 18430,     2, 12738, 15368,   551,  1110,
        6550,  3948,     7, 14606, 13115,  5187,  1003,  7957, 10853, 21336,
       14965, 15545,   120,  7819,  2973, 22381,    42,  8503,  3273,  1503,
          34,   848,  1234,  6566,   608,   101,  4183,   907,  6125,  1956,
        1789, 16983,  8001,  1350, 11134,   801, 20148,    77,  8481, 10544,
       16868, 11656,    16,  6647,  5937,  1947, 12058, 17987,  8749, 11137,
         494],
      dtype='int64', name='gcf_id')","[18307 17667  8423  7566  3879  2954  1505  1442  1441  1207   638   608
   477   377   230   195   156   106   101    74    68    67    62    59
    46    38    22    20    18    14    13    12    11    11    11    10
     9     9     8     8     7     6     6     5     5     4     4     4
     4     3     3     3     3     2     2     2     2     2     2     1
     1     1     1     1     1     1     1     1     1     1     1     1
     1     1     1     1     1     1     1     1     1]"
Burkholderia,340,"Index([ 3703,  1888,  9710,  1666, 22356,  8489, 19820,  1059,  4214, 16500,
       ...
         616,  5899,  2118,   603,     2,  7885,    37,  1410,  1073,   644],
      dtype='int64', name='gcf_id', length=340)","[6472 3061 2529 2380 2084 2067 1912 1880 1736 1735 1712 1702 1702 1670
 1654 1645 1624 1606 1544 1511 1471 1450 1305 1240 1218 1186 1125  908
  824  699  565  541  502  491  476  389  367  355  349  338  316  307
  290  278  255  248  242  237  219  219  201  182  178  148  144  142
  139  137  136  133  129  122  121  115  112  109  102  100   90   88
   80   80   79   75   74   70   67   65   60   54   54   51   51   48
   47   45   45   41   39   38   37   37   36   35   35   34   33   32
   32   32   32   31   30   29   27   27   27   27   27   26   24   24
   23   23   22   22   21   20   19   19   18   18   18   18   18   17
   16   16   15   14   13   13   12   11   11   11   11   10   10   10
   10   10   10   10   10   10   10   10    9    8    8    8    8    8
    8    8    8    8    8    8    7    7    7    7    7    7    6    6
    6    6    6    6    6    6    6    6    6    6    5    5    5    5
    5    5    5    5    5    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1]"
Streptomyces,3363,"Index([ 9710,  3703, 15483,  1951, 12708,   882,   358, 22333,  1128, 19820,
       ...
       17890,    21, 12661, 11763,  7500,  4781, 18868, 19721,  5764, 19295],
      dtype='int64', name='gcf_id', length=3363)",[3939 2396 1600 ...    1    1    1]
Pseudomonas_E,694,"Index([ 5326, 21034,  1128, 12881, 17004,  1513,  2648,   121, 15378,   621,
       ...
       19094, 12982,  5884, 17529, 17024, 16799, 21777, 17396, 22229, 16322],
      dtype='int64', name='gcf_id', length=694)","[4129 3434 2899 2045 1874 1517 1483 1466 1423 1219 1097 1037  918  716
  642  608  564  519  417  355  350  345  327  305  302  302  289  275
  255  254  252  213  201  191  184  183  182  169  164  157  132  123
  117  112  110  105  103  103  101   93   92   91   91   91   89   89
   87   85   83   83   81   80   79   79   78   77   77   74   74   73
   72   72   72   71   70   70   69   68   65   65   64   63   63   62
   61   60   60   60   59   59   55   55   55   54   53   52   51   50
   50   50   50   50   50   50   47   46   44   43   43   42   41   40
   40   40   39   38   38   37   36   34   34   32   31   30   30   30
   29   29   27   27   27   27   26   26   26   26   25   24   24   24
   24   23   23   23   22   22   21   21   21   21   21   20   20   20
   20   20   20   19   19   18   17   17   17   17   17   17   17   16
   16   16   15   15   15   15   15   15   15   15   14   14   14   14
   14   14   14   14   13   13   13   13   13   13   13   13   13   13
   13   12   12   12   12   12   11   11   11   11   11   11   11   11
   11   11   10   10   10   10   10    9    9    9    9    9    9    9
    9    9    9    9    9    8    8    8    8    8    8    8    8    8
    8    8    8    8    8    8    7    7    7    7    7    7    7    7
    7    7    7    7    7    7    7    7    7    7    6    6    6    6
    6    6    6    6    6    6    6    6    6    6    6    6    6    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    5    5    5    5    5    5    5    5    5    5    5    5    5    5
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    4    4    4    4    4    4    4    4    4    4    4    4    4    4
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    3    3    3    3    3    3    3
    3    3    3    3    3    3    3    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1]"
Acinetobacter,139,"Index([15194,  2648,  6971,  1292,  4457, 21034,  8055, 20186, 10912, 11676,
       ...
         121, 18167, 13841,  4664, 20154, 18315,    53,  3326, 17930,   873],
      dtype='int64', name='gcf_id', length=139)","[5779 5056 4491 4400 3711 3317 2504 1103  664  567  520  494  402  335
  294  287  266  256  238  227  179  141  114   83   82   77   68   58
   57   33   32   30   27   25   21   19   19   17   15   14   11    8
    8    7    7    6    6    5    5    5    5    5    5    5    5    4
    4    4    4    4    4    4    3    3    3    3    2    2    2    2
    2    2    2    2    2    2    2    2    2    2    2    2    2    2
    2    2    2    2    2    2    2    2    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1]"
Klebsiella,62,"Index([12738,  1706,   272, 21306,     8,   710,  1402,     2,  3703, 21034,
       21878,  2041,   104,  1513,  6312,  3589, 20200,   801,  1583,  2590,
        1128, 21332,    10,  1110,  4281, 15194, 11163,   101,  2154, 11137,
         393,  1150, 14606,   169,  1611,   287,   297,  3025, 18430,  6550,
          34,     7, 16868,  5135, 15545,  2279,  6532,  1309,   748,  1003,
         871,  7957, 12367,    59, 10544,  2696, 10889,  6484,    12,  5187,
        6003,   667],
      dtype='int64', name='gcf_id')","[9027 8753 8736 4104 1734  810  792  217  217  158  146   77   76   65
   59   53   16   14   14   14   12   10   10    8    7    6    5    4
    4    3    3    3    3    3    2    2    2    2    2    2    2    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1]"
Mycobacteroides,83,"Index([ 9710,  3703, 15483, 16280,   199, 11557, 10791,  6198,  1835, 15345,
       17291,    59, 16595,  8686,  1128, 14789,  8344, 15095, 22602,  1951,
       21658, 19820,  8031, 16842, 20609, 16377,  6457, 22206, 16205,   393,
       21878, 10490,  8036,  7989, 10787, 22598,  1356, 21827, 11527, 11218,
        8552, 22336,   121,   871,  3917, 18782, 22381, 12765, 17027, 16423,
       10853, 22333,   494, 21540,  6609, 11608, 15194, 15926, 10777, 13116,
         104, 19113,  4664, 12636, 18649, 12707, 14991,  3773,  6605,  1378,
       20364,  1188,     2,  4533, 12341,  1709, 14399,  1513,    27, 14606,
       17500,   102, 10817],
      dtype='int64', name='gcf_id')","[5237 3040 2582 1797 1777 1764 1762 1755 1733 1696 1612 1601 1407 1348
 1232  949  644  561  135   93   72   70   60   53   45   41   31   29
   22   22   17   15   15   11    8    8    7    6    6    5    5    4
    4    4    4    4    3    3    3    3    3    2    2    2    2    2
    2    2    2    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1]"
