,phylum_taxa_name,phylum_taxa_count,class_taxa_name,class_taxa_count,order_taxa_name,order_taxa_count,family_taxa_name,family_taxa_count,genus_taxa_name,genus_taxa_count,species_taxa_name,species_taxa_count
0,Proteobacteria,521947,Gammaproteobacteria,474642,Enterobacterales,196062,Enterobacteriaceae,165898,Mycobacterium,104666,Mycobacterium tuberculosis,93094
1,Actinobacteriota,256165,Actinobacteria,255633,Mycobacteriales,179848,Mycobacteriaceae,164260,Pseudomonas,74864,Pseudomonas aeruginosa,74092
2,Firmicutes,224467,Bacilli,224467,Pseudomonadales,158378,Pseudomonadaceae,118544,Staphylococcus,73841,Staphylococcus aureus,63573
3,Bacteroidota,13018,Alphaproteobacteria,47278,Burkholderiales,99779,Burkholderiaceae,84793,Streptococcus,73532,,52225
4,Firmicutes_A,11780,Bacteroidia,12755,Lactobacillales,93623,Streptococcaceae,74771,Escherichia,67960,Streptococcus pneumoniae,50516
5,Firmicutes_I,7584,Clostridia,11502,Staphylococcales,74147,Staphylococcaceae,74100,Burkholderia,66189,Burkholderia mallei,42197
6,,6383,Bacilli_A,7584,Streptomycetales,56376,Streptomycetaceae,56300,Streptomyces,52925,Escherichia flexneri,36810
7,Cyanobacteria,6223,,6394,Bacillales,55057,Moraxellaceae,36484,Pseudomonas_E,41724,Klebsiella pneumoniae,32240
8,Myxococcota,3777,Cyanobacteriia,6209,Rhizobiales,32780,Bacillaceae_G,31770,Acinetobacter,36255,Mycobacteroides abscessus,31402
9,Campylobacterota,1619,Myxococcia,3053,Actinomycetales,10863,Rhizobiaceae,25948,Klebsiella,35199,Acinetobacter baumannii,29759
10,Planctomycetota,1252,Campylobacteria,1617,Xanthomonadales,8659,Vibrionaceae,20764,Mycobacteroides,33348,Salmonella enterica,21435
11,Verrucomicrobiota,903,Planctomycetes,1144,Legionellales,7853,Bacillaceae,17177,Bacillus_A,31620,Escherichia coli,16592
12,Spirochaetota,838,Verrucomicrobiae,875,Flavobacteriales,6516,Neisseriaceae,12369,Salmonella,22163,Pseudomonas_E viridiflava,10159
13,Firmicutes_C,606,Polyangia,654,,6457,Enterococcaceae,8276,Vibrio,19087,Streptococcus pyogenes,8151
14,Fusobacteriota,479,Negativicutes,606,Rhodobacterales,6256,Xanthomonadaceae,8039,Bacillus,17023,Escherichia dysenteriae,7879
15,Deinococcota,471,Fusobacteriia,479,Paenibacillales,5965,Pseudonocardiaceae,7965,Neisseria,11540,Bacillus_A thuringiensis_J,7791
16,Desulfobacterota,426,Deinococci,471,Streptosporangiales,5115,Legionellaceae,7853,,9925,Neisseria meningitidis_B,7695
17,Acidobacteriota,388,Leptospirae,395,Cyanobacteriales,4710,Micromonosporaceae,7051,Rhizobium,8438,Vibrio parahaemolyticus,7015
18,Chloroflexota,338,Acidobacteriae,358,Peptostreptococcales,4215,,6762,Enterobacter,8429,Escherichia coli_D,5994
19,Desulfobacterota_A,332,Coriobacteriia,340,Sphingomonadales,4032,Rhodobacteraceae,6256,Rhodococcus,7519,Legionella pneumophila,5665
20,Firmicutes_B,287,Desulfovibrionia,332,Lachnospirales,3187,Paenibacillaceae,5938,Legionella,7013,Burkholderia ubonensis,5506
21,Desulfuromonadota,191,Brachyspirae,313,Myxococcales,3053,Lactobacillaceae,5827,Serratia,6962,Enterobacter himalayensis,5407
22,Firmicutes_K,173,Desulfobacteria,261,Clostridiales,2439,Microbacteriaceae,5210,Nocardia,5976,Vibrio cholerae,5250
23,Fibrobacterota,105,Thermoanaerobacteria,254,Bacteroidales,2042,Streptosporangiaceae,5115,Yersinia,5961,Bacillus velezensis,5194
24,Bdellovibrionota,92,Desulfuromonadia,191,Propionibacteriales,1873,Flavobacteriaceae,4314,Enterococcus_B,5936,Serratia marcescens_I,4725
25,Nitrospirota,91,Ktedonobacteria,175,Campylobacterales,1601,Listeriaceae,4240,Micromonospora,5794,Enterococcus_B faecium,4428
26,Firmicutes_F,90,Alicyclobacillia,173,Cytophagales,1542,Peptostreptococcaceae,4041,Mycolicibacterium,5468,Bacillus subtilis,3951
27,Bdellovibrionota_B,90,Rhodothermia,157,Acetobacterales,1495,Sphingomonadaceae,3950,Bordetella,4772,Bordetella pertussis,3869
28,Thermotogota,81,Spirochaetia,130,Chitinophagales,1365,Pasteurellaceae,3478,Corynebacterium,4420,Clostridioides difficile,3850
29,Verrucomicrobiota_A,78,Desulfitobacteriia,128,Frankiales,1335,Lachnospiraceae,3113,Xanthomonas,4332,Burkholderia cenocepacia,3744
30,Synergistota,46,Chloroflexia,108,Sphingobacteriales,1287,Xanthobacteraceae,3030,Listeria,4236,Mycobacterium avium,3688
31,Aquificota,46,Fibrobacteria,101,Bacillales_A,1286,Myxococcaceae,3015,Clostridioides,3871,Bacillus_A thuringiensis,3591
32,Nitrospirota_A,36,Chlorobia,98,Brevibacillales,1099,Nostocaceae,2876,Mesorhizobium,3407,Yersinia pestis,3511
33,Armatimonadota,23,Desulfobulbia,93,Synechococcales,983,Micrococcaceae,2799,Paenibacillus,3376,Brucella melitensis,3216
34,Firmicutes_E,16,Oligoflexia,90,Azospirillales,919,Alteromonadaceae,2632,Brucella,3216,Bacillus_A toyonensis,3157
35,Tectomicrobia,14,Halanaerobiia,89,Francisellales,848,Clostridiaceae,2420,Sinorhizobium,3136,Bacillus_A thuringiensis_S,2997
36,Firmicutes_D,13,Thermotogae,81,Oscillospirales,706,Beijerinckiaceae,2325,Amycolatopsis,3060,Neisseria gonorrhoeae,2970
37,Patescibacteria,10,Chlamydiia,78,Caulobacterales,683,Weeksellaceae,2124,Agrobacterium,2776,Streptococcus agalactiae,2903
38,Gemmatimonadota,10,Desulfotomaculia,78,Pirellulales,657,Aeromonadaceae,1856,Bradyrhizobium,2369,Staphylococcus epidermidis,2636
39,Firmicutes_J,9,Nitrospiria,76,Methylococcales,649,Acetobacteraceae,1495,Stenotrophomonas,2239,Pseudomonas_E avellanae,2629
40,Elusimicrobiota,8,Bradimonadia,70,Verrucomicrobiales,626,Bacillaceae_H,1368,Kitasatospora,2035,Streptococcus suis,2543
41,Caldisericota,7,Thermoleophilia,67,Fusobacteriales,479,Bacteroidaceae,1367,Cronobacter,2026,Burkholderia stagnalis,2516
42,Deferribacterota,7,Rubrobacteria,64,Deinococcales,471,Frankiaceae,1335,Flavobacterium,1996,Pseudomonas_E ficuserectae,2457
43,Margulisbacteria,6,Acidimicrobiia,61,Polyangiales,423,Sphingobacteriaceae,1287,Enterococcus,1882,Bacillus_A wiedmannii,2442
