,phylum_taxa_name,phylum_taxa_count,class_taxa_name,class_taxa_count,order_taxa_name,order_taxa_count,family_taxa_name,family_taxa_count,genus_taxa_name,genus_taxa_count,species_taxa_name,species_taxa_count
0,Proteobacteria,565024,Gammaproteobacteria,507067,Enterobacterales,202288,Enterobacteriaceae,170657,Mycobacterium,105197,,115269
1,Actinobacteriota,264466,Actinobacteria,262184,Mycobacteriales,180105,Mycobacteriaceae,164511,Pseudomonas,75072,Mycobacterium tuberculosis,93107
2,Firmicutes,229209,Bacilli,228404,Pseudomonadales,170045,Pseudomonadaceae,124741,Staphylococcus,74118,Pseudomonas aeruginosa,74268
3,Bacteroidota,32879,Alphaproteobacteria,57906,Burkholderiales,100727,Burkholderiaceae,90287,Streptococcus,74113,Staphylococcus aureus,63582
4,Firmicutes_A,28999,Bacteroidia,30909,Lactobacillales,94986,Streptococcaceae,75486,Escherichia,68537,Streptococcus pneumoniae,50516
5,Firmicutes_I,7824,Clostridia,28659,Staphylococcales,74583,Staphylococcaceae,74395,Burkholderia,66360,Burkholderia mallei,42197
6,Cyanobacteria,6653,Cyanobacteriia,8968,Streptomycetales,56496,Streptomycetaceae,56375,Streptomyces,52973,Escherichia flexneri,36818
7,,6508,Bacilli_A,8625,Bacillales,55900,Moraxellaceae,38306,Pseudomonas_E,44035,Klebsiella pneumoniae,32355
8,Myxococcota,5653,,6819,Rhizobiales,35354,Bacillaceae_G,31949,Acinetobacter,37954,Mycobacteroides abscessus,31402
9,Verrucomicrobiota,5508,Verrucomicrobiae,4748,Actinomycetales,13049,Rhizobiaceae,27064,Klebsiella,35377,Acinetobacter baumannii,29834
10,Planctomycetota,4642,Myxococcia,3638,Flavobacteriales,11581,Vibrionaceae,20875,Mycobacteroides,33348,Salmonella enterica,21437
11,Desulfobacterota,3290,Planctomycetes,3119,Xanthomonadales,10962,Bacillaceae,17530,,32257,Escherichia coli,17103
12,Acidobacteriota,3188,Negativicutes,2203,Bacteroidales,9509,Neisseriaceae,13252,Bacillus_A,31792,Pseudomonas_E viridiflava,10159
13,Cyanobacteriota,2606,Campylobacteria,1913,Lachnospirales,8920,,12392,Salmonella,22167,Streptococcus pyogenes,8151
14,Chloroflexota,2467,Acidobacteriae,1534,Oscillospirales,8476,Xanthomonadaceae,9791,Vibrio,19193,Escherichia dysenteriae,7882
15,Firmicutes_C,2203,Polyangia,1320,Rhodobacterales,8373,Lachnospiraceae,8607,Bacillus,17372,Bacillus_A thuringiensis_J,7791
16,Campylobacterota,1915,Desulfobacteria,1233,,8334,Enterococcaceae,8516,Neisseria,12021,Neisseria meningitidis_B,7695
17,Spirochaetota,1604,Anaerolineae,1025,Legionellales,7927,Rhodobacteraceae,8368,Enterobacter,9062,Vibrio parahaemolyticus,7020
18,Bdellovibrionota,874,Acidimicrobiia,878,Betaproteobacteriales,6934,Pseudonocardiaceae,8017,Rhizobium,8582,Escherichia coli_D,6000
19,Fusobacteriota,801,Phycisphaerae,838,Paenibacillales,6811,Legionellaceae,7920,Rhodococcus,8175,Legionella pneumophila,5665
20,Deinococcota,668,Fusobacteriia,801,Cyanobacteriales,5918,Micromonosporaceae,7304,Serratia,7177,Enterobacter himalayensis,5532
21,Nitrospirota,647,Coriobacteriia,787,Sphingomonadales,5537,Flavobacteriaceae,7216,Legionella,7029,Burkholderia ubonensis,5506
22,Firmicutes_B,569,Desulfovibrionia,734,Streptosporangiales,5497,Paenibacillaceae,6705,Yersinia,6022,Vibrio cholerae,5257
23,SAR324,518,Thermoanaerobaculia,705,Peptostreptococcales,4711,Lactobacillaceae,6119,Nocardia,6006,Bacillus velezensis,5230
24,Desulfuromonadota,469,Rhodothermia,696,Chitinophagales,4068,Microbacteriaceae,5994,Enterococcus_B,5985,Serratia marcescens_I,4733
25,Patescibacteria,448,Deinococci,668,Myxococcales,3638,Streptosporangiaceae,5495,Micromonospora,5898,Enterococcus_B faecium,4436
26,Gemmatimonadota,443,Chlorobia,650,Clostridiales,2884,Sphingomonadaceae,5310,Mycolicibacterium,5478,Bacillus subtilis,4049
27,Desulfobacterota_A,407,Dehalococcoidia,650,Cytophagales,2632,Bacteroidaceae,4283,Corynebacterium,5389,Bordetella pertussis,3869
28,Fibrobacterota,391,Spirochaetia,607,Sphingobacteriales,2540,Listeriaceae,4246,Bordetella,4793,Clostridioides difficile,3852
29,Omnitrophota,302,Nitrospiria,525,Corynebacteriales,2452,Peptostreptococcaceae,4154,Xanthomonas,4336,Burkholderia cenocepacia,3744
30,Elusimicrobiota,281,Syntrophia,499,Propionibacteriales,2381,Pasteurellaceae,3672,Listeria,4242,Mycobacterium avium,3706
31,UBP10,267,Blastocatellia,493,Verrucomicrobiales,2361,Myxococcaceae,3535,Pseudomonas_A,4002,Bacillus_A thuringiensis,3591
32,Synergistota,231,Desulfuromonadia,469,Methylococcales,1932,Xanthobacteraceae,3519,Clostridioides,3879,Yersinia pestis,3518
33,Armatimonadota,215,Thermoleophilia,459,Campylobacterales,1897,Nostocaceae,3442,Stenotrophomonas,3560,Brucella melitensis,3216
34,Firmicutes_K,173,SAR324,456,Bacillales_A,1839,Alteromonadaceae,3427,Paenibacillus,3552,Bacillus_A toyonensis,3157
35,Thermotogota,167,Bacteriovoracia,454,Acetobacterales,1704,Micrococcaceae,3411,Mesorhizobium,3428,Bacillus_A thuringiensis_S,3019
36,Nitrospinota,145,Leptospirae,445,Caulobacterales,1699,Chitinophagaceae,3262,Brucella,3216,Neisseria gonorrhoeae,2974
37,Marinisomatota,132,Gemmatimonadetes,441,Pirellulales,1604,Weeksellaceae,2925,Sinorhizobium,3169,Streptococcus agalactiae,2905
38,Firmicutes_F,131,Desulfobulbia,429,Frankiales,1413,Clostridiaceae,2854,Amycolatopsis,3060,Staphylococcus epidermidis,2723
39,Eremiobacterota,118,Chloroflexia,378,Brevibacillales,1247,Beijerinckiaceae,2757,Agrobacterium,2943,Pseudomonas_E avellanae,2629
40,Firmicutes_G,117,Kiritimatiellae,334,Synechococcales,1194,Sphingobacteriaceae,2507,Bradyrhizobium,2523,Streptococcus suis,2543
41,Desulfobacterota_B,114,Brachyspirae,325,Desulfobacterales,1123,Ruminococcaceae,2398,Flavobacterium,2441,Burkholderia stagnalis,2543
42,UBP12,111,Kapabacteria,324,Christensenellales,1082,Acutalibacteraceae,2324,Pantoea,2416,Pseudomonas_E ficuserectae,2457
43,Bdellovibrionota_B,106,Fibrobacteria,320,Azospirillales,1023,DTU089,2115,Ruminococcus_E,2300,Bacillus_A wiedmannii,2456
44,Latescibacterota,104,Lentisphaeria,297,Acidobacteriales,883,Corynebacteriaceae,2076,Prevotella,2133,Bacillus_A anthracis,2421
45,Nitrospirota_A,101,Ktedonobacteria,294,Pedosphaerales,879,Cyanobiaceae,1994,Cronobacter,2060,Burkholderia multivorans,2419
46,Aquificota,98,Thermoanaerobacteria,268,Francisellales,866,Aeromonadaceae,1900,Kitasatospora,2035,Streptomyces rimosus,2313
47,Firmicutes_D,85,Vampirovibrionia,261,Acidaminococcales,853,Planococcaceae,1839,Chryseobacterium,2013,Listeria monocytogenes_B,2257
48,Methylomirabilota,82,Elusimicrobia,254,Polyangiales,848,Acetobacteraceae,1700,Ralstonia,1997,Burkholderia cepacia,2257
49,Bipolaricaulota,80,GR-WP33-30,251,Synechococcales_A,818,Akkermansiaceae,1686,Pseudoalteromonas,1968,Streptococcus equi,2210
50,Verrucomicrobiota_A,80,koll11,227,Fusobacteriales,790,Methylomonadaceae,1480,Enterococcus,1917,Bacillus licheniformis,2148
51,UBP6,69,Synergistia,226,Coriobacteriales,780,Bacillaceae_H,1415,Aeromonas,1843,Bacillus_A cereus,2107
52,Poribacteria,62,UBA796,220,Desulfovibrionales,734,Frankiaceae,1410,Haemophilus,1671,Streptomyces albidoflavus,2088
53,KSB1,58,Bdellovibrionia,218,Planctomycetales,724,Halomonadaceae,1369,Klebsiella_A,1620,Rhizobium leguminosarum_C,1987
54,Zixibacteria,58,Oligoflexia,217,Opitutales,677,Campylobacteraceae,1349,Lactobacillus_F,1616,Sinorhizobium meliloti_B,1888
55,UBP17,56,UBA8108,212,Deinococcales,668,Propionibacteriaceae,1345,Spirillospora,1570,Acinetobacter nosocomialis,1802
56,Margulisbacteria,53,Ignavibacteria,211,Chlorobiales,650,Bacillaceae_A,1316,Photorhabdus,1540,Enterococcus faecalis,1761
57,Firmicutes_E,46,Chlamydiia,199,Acetivibrionales,632,Brevibacillaceae,1247,Achromobacter,1499,Listeria monocytogenes,1728
58,Firmicutes_H,45,Alicyclobacillia,177,Tissierellales,626,Cyclobacteriaceae,1183,Corallococcus,1430,Acinetobacter pittii,1707
59,Hydrogenedentota,42,UBA4802,176,Rhodospirillales,622,Caulobacteraceae,1169,Gordonia,1389,Pseudomonas_A stutzeri,1684
60,Riflebacteria,41,Syntrophobacteria,169,Gemmatales,606,Oscillospiraceae,1103,Lactococcus,1370,Pseudomonas_E syringae,1585
61,Calditrichota,35,Thermotogae,166,Microtrichales,606,Shewanellaceae,1077,Sphingomonas,1345,Cronobacter sakazakii,1537
62,Dormibacterota,33,Desulfitobacteriia,164,Veillonellales,578,UBA932,1046,Klebsiella_B,1323,Klebsiella variicola,1518
63,Eisenbacteria,32,Brocadiae,160,Phycisphaerales,553,Rhodanobacteraceae,1010,Paraburkholderia,1296,Lactobacillus_F plantarum,1497
64,WOR-3,32,Desulfomonilia,159,Rhodospirillales_A,546,Pirellulaceae,1003,Microbacterium,1293,Bacillus_A cereus_AD,1464
65,UBA10199,32,Paceibacteria,159,Nanopelagicales,541,Rhodocyclaceae,991,Chitinophaga,1290,Klebsiella quasipneumoniae,1462
66,Dadabacteria,31,Saccharimonadia,156,Nitrospirales,504,Azospirillaceae,898,Akkermansia,1265,Streptococcus mutans,1458
